동물원에 소는 없을껄여.	동물원에 소는 없을걸요.
버스가 없으면 걸을 수 밖에 없어여.	버스가 없으면 걸을 수밖에 없어요.
자신의 환경과 현실을 고려하지 않은 채 성취동기만 강한사람은 우울증에 빠질 우려가 있다.	자신의 환경과 현실을 고려하지 않은 채 성취동기만 강한 사람은 우울증에 빠질 우려가 있다.
지금 출발하면 몇시쯤 도착할까요.	지금 출발하면 몇 시쯤 도착할까요.
히로씨는 술도 안 마시거니와 담배도 안 피워요.	히로 씨는 술도 안 마시거니와 담배도 안 피워요.
남자친구와 헤어진 한 더이상 만날 수 없을거에요.	남자 친구와 헤어진 한 더 이상 만날 수 없을 거예요.
영수가 학생이 아니던가여?	영수가 학생이 아니던가요?
제가 지금 읽는것이 책이에요.	제가 지금 읽는 것이 책이에요.
길 가는 사람을 때린 그 부랑자는 정신적인 결함이 있음이 인정되어서 형벌을 감면받게 되었다.	길가는 사람을 때린 그 부랑자는 정신적인 결함이 있음이 인정되어서 형벌을 감면받게 되었다.
수지가 얼굴이 하얘서 인지 흰 드레스가 잘 어울렸다.	수지가 얼굴이 하얘서인지 흰 드레스가 잘 어울렸다.
손님들이 돌아간 후 그녀는 남아 있는 음식물을 어떻게 해야 좋을지 몰라 쩔쩔매고 있었다.	손님들이 돌아간 후 그녀는 남아있는 음식물을 어떻게 처치해야 좋을지 몰라 쩔쩔매고 있었다.
나는 답을 안보면서 문제를 풀었어요.	나는 답을 안 보면서 문제를 풀었어요.
아이가 게임을 좋아하는 탓에 공부를 안해요.	아이가 게임을 좋아하는 탓에 공부를 안 해요.
중국에있는 남자 친구가 보고싶어요.	중국에 있는 남자 친구가 보고 싶어요.
칭기즈칸과 그의 전사들은 13세기 초 끝없이 펼쳐진 몽골 대평원을 통일하고 서쪽으로 진격해 서방세계를 공포의 도가니에 몰아 넣었다.	칭기즈칸과 그의 전사들은 13세기 초 끝없이 펼쳐진 몽골 대평원을 통일하고 서쪽으로 진격해 서방 세계를공포의 도가니로몰아 넣었다.
내일 오전 9시 회의가 있음. 다음주 목요일에 시험을 봄.	내일 오전 9시에 회의가 있음. 다음 주 목요일에 시험을 봄.
떠돌았던 바위들은 제자리를 잡아 적응했고 뿌리채 떠밀려온 아름드리 나무들은 풍화된 자연에 세게 합류했다.	떠돌았던 바위들은 제자리를 잡아 적응했고 뿌리째 떠밀려온 아름드리 나무들은 풍화돼 자연의 색에 합류했다.
나는 텔레비전을 안 본지 1 년이 됐다.	나는 텔레비전을 안 본 지 1년이 됐다.
요리면 요리 청소면 청소 안 힘든 집안일이 없는거 같아요.	요리면 요리 청소면 청소 안 힘든 집안일이 없는 거 같아요.
수업이 끝나고 우리같이 인사동에 갑시다.	수업이 끝나고 우리 같이 인사동에 갑시다.
저는 한국에 온 후 한국음식을 좋아하게 됐어여.	저는 한국에 온 후 한국 음식을 좋아하게 됐어요.
줄리아씨를 만나지 마세요.	줄리아 씨를 만나지 말 것.
아이는 밖이 추우니 나가면 안된다는 것에 대해 밖에 꼭 나가야 한다고 엄마에게 앙탈을 부렸다.	아이는 밖이 추우니 나가면 안 된다는 것에 대해 밖에 꼭 나가야 한다고 엄마에게 앙탈을 부렸다.
청와대는 언론에 이번 서에 교전사태가 벌어진 것에 대해 우려할 만한 사태라고 입장을 표명하였다.	청와대는 언론에 이번 서해 교전 사태가 벌어진 것에 대해 우려할 만한 사태라고 입장을 표명하였다.
삼촌이 자전거를 잘 타시던데여.	삼촌이 자전거를 잘 타시던데요.
한국어를 다 배우고 나서 돌아갈거예요.	한국어를 다 배우고 나서 돌아갈 거예요.
축구협회는 대표팀 감독에게 이번 경기에서 참패한 대에 대해서 원인이 무엇이냐고 책임을 물었다.	축구협회는 대표팀 감독에게 이번 경기에서 참패한 데 대해 원인이 무엇이냐고 책임을 물었다.
수지씨가 동생한테 전화해여.	수지 씨가 동생한테 전화해요.
저의 꿈을 이룬것은 꿈을 버리지 않은 결과입니다.	저의 꿈을 이룬 것은 꿈을 버리지 않은 결과입니다.
한국은 상호방위를 하는 데 대해 제 3국의 공격에 대해 공동으로 대응하기로 미국과 동맹을 맺었다.	한국은 상호 방위를 하는 데 대해 제3국의 공격에 대해 공동으로 대응하기로 미국과 동맹을 맺었다.
언니가 병원이 일찍 간것은 많이아파서이다.	언니가 병원에 일찍 간 것은 많이 아파서이다.
난세에 앞서가는 사람들은 역적이라고 손가락질받다가도 결국 역사적 평가에서는 개혁의 화신으로 추앙된다.	난세에 앞서가는 사람들은 역적이라고 손가락질 받다가도 결국 역사적 평가에서는 개혁의 화신으로 추앙된다.
방이 좁은 것이 마음에 들지 않아여.	방이 좁은 것이 마음에 들지 않아요.
수지씨가 중국음식을 먹어본 적이 있어요.	수지 씨는 중국 음식을 먹어 본 적이 있어요.
나는 내딸을 만나고야 말겠어요.	나는 내 딸을 만나고야 말겠어요.
지난번 일로 몇번 부탁을 드렸는데 아직 답이 없다. 몇일 내로 답을 주시지요. 아직까지 나는 그 분의 답을 기다리고 있는 중이다.	지난 번 일로 몇 번 부탁을 드렸는데 아직 답이 없다. 며칠 내로 답을 주시지요. 아직까지 나는 그 분의 답을 기다리고 있는 중이다.
얼굴이 빨간데 감기에 걸린거 아니예요.	얼굴이 빨간데 감기에 걸린 거 아니에요.
저는 무서운 영화를 못보는데여.	저는 무서운 영화를 못 보는데요.
쇼핑을 안하게 돼요.	쇼핑을 안 하게 돼요.
성저기 아놀랐어? 혼자서 아눗길?	성적이 안 올랐어? 혼자서 안 웃게?
나는 책을 읽고 앤디씨는 텔레비전을 봅니다.	나는 책을 읽고 앤디 씨는 텔레비전을 봅니다.
새벽잠을 여인숙에서 설핏하게 자고 일어나 아침을 먹고 나니 이제 어디부터 가야 할 지 막막했다.	새벽잠을 여인숙에서 설핏하게 자고 일어나 아침을 먹고나니 이제 어디부터 가보아야 할지 막막했다.
그에게 마음의 상처를 줄 것을 의도했던 것은 아닌데 결과적으로 나의 행동은 그렇게 되어버렸다.	그에게 마음의 상처를 줄 것을 의도했던 것은 아닌데 결과적으로 나의 행동은 그렇게 되어 버렸다.
왕밍씨는 시험공부를 많이 하고도 시험을 잘 못봤어요.	왕밍 씨는 시험공부를 많이 하고도 시험을 잘 못 봤어요.
이 책상은 재활용품으로 만들어써여.	이 책상은 재활용품으로 만들었어요.
윤리교육의 목적은 학생들을 의식화하여 사회 규범에 일탈화하는 행동을 하지 않도록 하는 것이다.	윤리 교육의 목적은 학생들을 의식화하여 사회 규범에 일탈하는 행동을 하지 않도록 하는 것이다.
아이는 엄마에게 어떤 장난감을 사줄 것인가에 대해 비싼 것을 사달라고 어리광을 떨었다.	아이는 엄마에게 어떤 장난감을 사 줄 것인가에 대해 비싼 것을 사 달라고 어리광을 떨었다.
책을 동생한테 주었어여.	책을 동생한테 주었어요.
누나가 미국에 유학간다면서요.	누나가 미국에 유학 간다면서요.
심심풀이로 바둑을 가르쳤더니 흥미를 보이고 관심 두더니 삼촌에게 사사받아 일주일 후 애비를 능가했다.	심심풀이로 바둑을 가르쳤더니 흥미를 보이고 관심두더니 삼촌에게 사사받아 일개월 후 애비를 능가했다.
수지는 공부하느라고 요즘 운동을 못해여.	수지는 공부하느라고 요즘 운동을 못 해요.
시험 시간이 10 분만 남았어여.	시험 시간이 10분만 남았어요.
아버지께서 바빠가지고 졸업식에 오지 않으실 겁니다.	아버지께서 바빠 가지고 졸업식에 오지 않으실 겁니다.
나 좀 전에 밥 먹은거 맞니?	나 좀 전에 밥 먹은 것 맞니?
저는 다음부터 혼자 여행가지 않을 거에요.	저는 다음부터 혼자 여행 가지 않을 거예요.
그래도 저보고 도와달라고 하는데 안 도와주기가 좀 그래서여.	그래도 저보고 도와달라고 하는데 안 도와주기가 좀 그래서요.
아까부터 배고프더니 이젠 속이 쓰려요.	아까부터 배고프더니 이제는 속이 쓰려요.
점심에 먹은 게 소화가 안 되요.	점심으로 먹은 게 소화가 안 돼요.
아무리 타협을 이루었다 하더라도 이미 갈등을 겪은 노사간의 관계가 원상복구 되려면 아무래도 시간이 걸리지 않겠는가?	아무리 타협을 이루었다 하더라도 이미 갈등을 겪은 노사간의 관계가 원상복구되려면 아무래도 시간이 걸리지 않겠는가?
영수씨는 워낙 성실해서 무엇을 하든지 성공할거예요.	영수 씨는 워낙 성실해서 무엇을 하든지 성공할 거예요.
획일적이며 무차별적인 지원책이 아니라 보다 신축적이고 융통성 있는 지원책이 강구돼야 한다.	획일적이며 무차별 적인 지원책이 아니라 보다 신축적이고 융통성 있는 지원책이 강구돼 야 한다.
김 선생님은 다음주에 학생들에게 이차함수를 어떻게 푸는지에 대해 시험을 치를 예정이다.	김 선생님은 다음 주에 학생들에게 이차 함수를 어떻게 푸는지에 대해 시험을 치를 예정이다.
친구들이랑 재미있는 것을 하며 놀고싶어요.	친구들이랑 재미있는 것을 하며 놀고 싶어요.
운이 없다면 외출하지 마세요.	돈이 없다면 외출하지 마세요.
콜라보다는 쥬스가 좋아요.	콜라보다는 주스가 좋아요.
영수가 침대에 누워이써요.	영수가 침대에 누워 있어요.
당신을 위해서라면 무슨 행동이나 할 수 있어여.	당신을 위해서라면 무슨 행동이나 할 수 있어요.
네가 일하는대로 나도 일한다.	네가 일하는 대로 나도 일한다.
어렸을때는 키가 작았었어요.	어렸을 때는 키가 작았었어요.
내년에만 학교를 다닐 거예요.	내년에만 학교에 다닐 거예요.
길 한 쪽에서는 리어카 위에 메론 수박 파인애플 등을 조각내어 얼음 위에 놓고 팔고 있다.	길 한쪽에서는 리어카 위에 메론 수박 파인애플 등을 조각내어 얼음 위에 놓고 팔고 있다.
내가 어렸을 때 겪었을 일에 대해 떠올려본다.	내가 어렸을 때 겪었을 일에 대해 떠올려 본다.
점심으로 불고기에 김찌찌개에 불고기에 여러가지를 먹었더니 매우 배불러여.	점심으로 불고기에 김치찌개에 불고기에 여러 가지를 먹었더니 매우 배불러요.
내 남편도 결혼할 때는 으레히 통속적으로 말했겠지만 내가 우는 모습에 퍽 마음이 아프고 미안했었나 보다.	내 남편도 결혼 할 때는 으례히 통속적으로 말했겠지만 내가 우는 모습 에 퍽 마음이 아프고 미안했었던가 보다.
왕밍씨에 고향은 중국입니다.	왕밍 씨의 고향은 중국입니다.
주말이니 미도리씨가 친구를 만나겠어요.	주말이니 미도리 씨가 친구를 만나겠어요.
그를 만난 지도 1년이나? 다.	그를 만난 지도 1년이나 됐다.
선생님은 한국어 교육에 발전에 온 열정을 쏟았다.	선생님은 한국어 교육의 발전에 온 열정을 쏟았다.
5년이요. 그래서 한국에대해 잘 알수밖에 없어여.	5년이요. 그래서 한국에 대해 잘 알 수밖에 없어요.
배가 고파 과식하다가 배탈이 났따.	배가 고파 과식하다가 배탈이 났다.
수지는 날마다 학원에가요.	수지는 날마다 학원에 가요.
어린이집 선생님께 마꼈어여.	어린이집 선생님께 맡겼어요.
저는 대학을 졸업한 후 배낭여행을 갈 거에요.	저는 대학을 졸업한 후 배낭여행을 갈 거예요.
우리 엄마는 밥먹을 때마다 맛있게 먹으렴이라고 말씀하십니다.	우리 엄마는 밥 먹을 때마다 맛있게 먹으렴 이라고 말씀하신다.
사랑이란 이해할 수 없는 일도 이해해주는거 아닐까요.	사랑이란 이해할 수 없는 일도 이해해 주는 거 아닐까요.
이 과정에서 팔레스타인 주민 3 명이 사살되고 20여 명이 부상했다고 팔레스타인 보안 소식통들이 밝혔다.	이 과정에서 팔레스타인 주민 3명이 사살되고 20여명이 부상했다고 팔레스타인 보안 소식통들이 밝혔다.
늦게까지 공부해서 피곤할 수 밖에 없어요.	늦게까지 공부해서 피곤할 수밖에 없어요.
자신은 계집질을 일삼으면서도 정작 수십명이 넘는 자신의 계집들이 딴눈파는 것은 절대로 용남하지 않는 관북이었다.	자신은 계집질을 일삼으면서도 정작 수십 명이 넘는 자신의 계집들이 딴눈파는 것은 절대로 용납하지 않는 관부귀였다.
